Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
01886 20091126 20231206 444 48.4878 10.2608 Gunzburg Bayern
01892 19750601 19980531 72 51.9298 8.3005 Gutersloh_(Flugplatz) Nordrhein-Westfalen
01920 19790401 20030331 100 51.4129 7.4895 Hagen-Fley Nordrhein-Westfalen
01922 19790101 19860228 111 51.3598 7.4717 Hagen_(Stadtsparkasse) Nordrhein-Westfalen
01957 19720101 20150323 93 51.5138 11.9499 Halle-Krollwitz Sachsen-Anhalt
01960 19450101 19751231 102 51.4831 11.9671 Halle_(Stadt) Sachsen-Anhalt
01963 19690101 20231206 4 54.5742 8.5133 Hallig_Hooge Schleswig-Holstein
01975 19500101 20231206 11 53.6332 9.9881 Hamburg-Fuhlsbuttel Hamburg
01987 19690101 19970331 47 53.5467 9.9662 Hamburg-Sankt_Pauli Hamburg
01993 19761201 20231206 68 52.0848 9.3896 Hameln Niedersachsen
02014 19500101 20231206 55 52.4644 9.6779 Hannover Niedersachsen
02023 20021113 20231206 501 48.7918 10.7062 Harburg Bayern
02044 19810101 20231206 404 51.6520 11.1366 Harzgerode Sachsen-Anhalt
02055 19871113 20141228 292 50.0493 10.4947 Hassfurt Bayern
02093 19690101 19820930 30 53.8562 9.8227 Heidmoor Schleswig-Holstein
02100 20181201 20191117 4 54.1860 7.9119 Helgoland-Dune Schleswig-Holstein
02115 19590101 20231206 4 54.1750 7.8920 Helgoland Schleswig-Holstein
02158 19770101 20090101 350 48.8042 8.4430 Herrenalb,_Bad Baden-Wurttemberg
02166 19820101 19910502 344 51.0167 14.7500 Herrnhut Sachsen
02171 19760401 20231206 272 50.8520 9.7377 Hersfeld,_Bad Hessen
02201 19590108 19790618 1 54.5750 13.1044 Hiddensee-Vitte Mecklenburg-Vorpommern
02207 19740301 19781231 91 52.1833 9.9500 Hildesheim_(Flugplatz) Niedersachsen
02228 19790101 20041231 883 47.8983 8.1055 Hinterzarten Baden-Wurttemberg
02244 19800601 20050901 1008 47.7327 8.1627 Hochenschwand Baden-Wurttemberg
02252 19971105 20231206 271 50.8992 14.7456 Bertsdorf-Hornitz Sachsen
02253 19831001 19960731 10 54.7667 8.2833 Hornum/Sylt Schleswig-Holstein
02261 19480101 20231206 565 50.3123 11.8760 Hof Bayern
02290 19390101 20231206 977 47.8009 11.0108 Hohenpeissenberg Bayern
02303 19690101 20231130 10 54.3162 9.5385 Hohn Schleswig-Holstein
02315 20090101 20231130 80 51.7657 13.1666 Holzdorf-Bernsdorf Brandenburg
02338 19740601 20051223 39 52.3333 7.5500 Hopsten_(Flugplatz) Nordrhein-Westfalen
02349 19891030 20231206 1138 48.6136 8.2033 Hornisgrinde Baden-Wurttemberg
02374 19650101 19711016 3 54.4752 9.0564 Husum Schleswig-Holstein
02377 19810101 20231206 362 47.7001 7.5895 Kandern-Gupf Baden-Wurttemberg
02385 19740401 20231130 376 49.6927 7.3263 Idar-Oberstein Rheinland-Pfalz
02410 19740101 20231130 364 48.7111 11.5363 Ingolstadt-Manching Bayern
02423 19771001 20050701 712 47.6894 10.0416 Isny Baden-Wurttemberg
02429 19880301 20231206 20 53.9897 9.5697 Itzehoe Schleswig-Holstein
02437 19710101 20080131 21 54.4570 9.5203 Schleswig-Jagel Schleswig-Holstein
02444 19920201 19980331 155 50.9251 11.5830 Jena_(Sternwarte) Thuringen
02456 19690101 20040630 7 53.5322 7.8806 Jever Niedersachsen
02465 19810501 19901231 0 53.5083 9.7376 Jork-Moorende Niedersachsen
02482 19781201 19800430 741 51.1806 8.4900 Kahler_Asten_(A) Nordrhein-Westfalen
02483 19690101 20231206 839 51.1803 8.4891 Kahler_Asten Nordrhein-Westfalen
02485 20110502 20231206 489 48.9170 9.6871 Kaisersbach-Cronhutte Baden-Wurttemberg
02486 19770301 19940531 271 49.4262 7.7557 Kaiserslautern Rheinland-Pfalz
02493 19800101 19940531 2 54.4333 10.3667 Kalifornien Schleswig-Holstein
02494 19930101 20130930 31 51.7329 6.2688 Kalkar Nordrhein-Westfalen
02497 19790101 20231206 505 50.5014 6.5264 Kall-Sistig Nordrhein-Westfalen
02503 19530101 20030505 487 50.6266 10.1455 Kaltennordheim Thuringen
